"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Jun 16, 2022","
","2,594.00","
","2,617.50","
","2,617.50","
","2,593.00","
",-, ,0.06%,"
"
"
","Jun 15, 2022","
","2,592.50","
","2,600.00","
","2,594.00","
","2,593.50","
",-, ,0.88%,"
"
"
","Jun 14, 2022","
","2,570.00","
","2,615.00","
","2,610.00","
","2,610.00","
",51.08K, ,-2.21%,"
"
"
","Jun 13, 2022","
","2,628.00","
","2,608.00","
","2,607.00","
","2,606.00","
",61.18K, ,-1.94%,"
"
"
","Jun 10, 2022","
","2,680.00","
","2,705.00","
","2,710.00","
","2,705.00","
",44.18K, ,-2.93%,"
"
"
","Jun 09, 2022","
","2,761.00","
","2,785.00","
","2,788.00","
","2,785.00","
",41.39K, ,-2.06%,"
"
"
","Jun 08, 2022","
","2,819.00","
","2,798.00","
","2,797.00","
","2,798.00","
",35.34K, ,1.46%,"
"
"
","Jun 07, 2022","
","2,778.50","
","2,755.00","
","2,745.00","
","2,745.00","
",39.60K, ,-0.14%,"
"
"
","Jun 06, 2022","
","2,782.50","
","2,783.00","
","2,781.00","
","2,774.00","
",44.10K, ,2.07%,"
"
"
","Jun 01, 2022","
","2,726.00","
","2,740.00","
","2,730.00","
","2,728.00","
",57.00K, ,-2.19%,"
"
"
","May 31, 2022","
","2,787.00","
","2,855.00","
","2,853.00","
","2,850.00","
",40.09K, ,-3.51%,"
"
"
","May 30, 2022","
","2,888.50","
","2,891.00","
","2,890.00","
","2,891.00","
",18.02K, ,0.59%,"
"
"
","May 27, 2022","
","2,871.50","
","2,855.00","
","2,845.00","
","2,847.00","
",23.68K, ,0.23%,"
"
"
","May 26, 2022","
","2,865.00","
","2,876.00","
","2,856.00","
","2,857.00","
",23.78K, ,-0.31%,"
"
"
","May 25, 2022","
","2,874.00","
","2,858.00","
","2,857.50","
","2,857.00","
",32.05K, ,-0.95%,"
"
"
","May 24, 2022","
","2,901.50","
","2,907.00","
","2,907.00","
","2,907.00","
",30.17K, ,-1.84%,"
"
"
","May 23, 2022","
","2,956.00","
","2,975.00","
","2,973.00","
","2,975.00","
",35.61K, ,0.34%,"
"
"
","May 20, 2022","
","2,946.00","
","2,958.00","
","2,953.00","
","2,935.00","
",40.39K, ,1.36%,"
"
"
","May 19, 2022","
","2,906.50","
","2,850.00","
","2,840.00","
","2,840.00","
",33.06K, ,1.71%,"
"
"
","May 18, 2022","
","2,857.50","
","2,878.00","
","2,873.00","
","2,875.00","
",33.80K, ,-1.14%,"
"
"
","May 17, 2022","
","2,890.50","
","2,865.00","
","2,862.00","
","2,858.00","
",42.27K, ,2.07%,"
"
"
","May 16, 2022","
","2,832.00","
","2,814.00","
","2,820.00","
","2,814.00","
",29.61K, ,1.58%,"
"
