"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Jun 15, 2022","
",18.46,"
",18.66,"
",18.73,"
",18.38,"
",90.37K, ,-1.28%,"
"
"
","Jun 14, 2022","
",18.70,"
",18.71,"
",18.86,"
",18.58,"
",57.57K, ,-0.05%,"
"
"
","Jun 13, 2022","
",18.71,"
",18.80,"
",18.81,"
",18.61,"
",102.31K, ,-0.85%,"
"
"
","Jun 10, 2022","
",18.87,"
",19.30,"
",19.35,"
",18.84,"
",88.71K, ,-2.18%,"
"
"
","Jun 09, 2022","
",19.29,"
",18.99,"
",19.45,"
",18.82,"
",148.35K, ,1.63%,"
"
"
","Jun 08, 2022","
",18.98,"
",18.97,"
",19.17,"
",18.84,"
",113.11K, ,0.05%,"
"
"
","Jun 07, 2022","
",18.97,"
",19.40,"
",19.41,"
",18.94,"
",149.85K, ,-3.02%,"
"
"
","Jun 06, 2022","
",19.56,"
",19.45,"
",19.76,"
",19.45,"
",83.10K, ,1.40%,"
"
"
","Jun 03, 2022","
",19.29,"
",19.35,"
",19.42,"
",19.25,"
",31.79K, ,-0.31%,"
"
"
","Jun 02, 2022","
",19.35,"
",19.38,"
",19.59,"
",19.23,"
",54.01K, ,-0.46%,"
"
"
","Jun 01, 2022","
",19.44,"
",19.40,"
",19.68,"
",19.28,"
",49.33K, ,0.21%,"
"
"
","May 31, 2022","
",19.40,"
",19.80,"
",19.92,"
",19.33,"
",54.83K, ,-1.07%,"
"
"
","May 27, 2022","
",19.61,"
",19.51,"
",19.73,"
",19.40,"
",30.83K, ,0.36%,"
"
"
","May 26, 2022","
",19.54,"
",19.40,"
",19.62,"
",19.27,"
",47.70K, ,-0.71%,"
"
"
","May 25, 2022","
",19.68,"
",19.82,"
",19.93,"
",19.54,"
",41.86K, ,-0.35%,"
"
"
","May 24, 2022","
",19.75,"
",19.70,"
",19.99,"
",19.45,"
",73.26K, ,-0.10%,"
"
"
","May 23, 2022","
",19.77,"
",20.05,"
",20.09,"
",19.72,"
",49.99K, ,-0.90%,"
"
"
","May 20, 2022","
",19.95,"
",19.82,"
",20.10,"
",19.73,"
",40.44K, ,0.91%,"
"
"
","May 19, 2022","
",19.77,"
",19.76,"
",19.88,"
",19.51,"
",47.69K, ,-0.30%,"
"
"
","May 18, 2022","
",19.83,"
",19.95,"
",20.13,"
",19.74,"
",58.65K, ,-0.85%,"
"
"
","May 17, 2022","
",20.00,"
",19.66,"
",20.24,"
",19.57,"
",87.60K, ,1.63%,"
"
"
","May 16, 2022","
",19.68,"
",19.70,"
",19.70,"
",19.28,"
",75.15K, ,2.66%,"
"
