"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Jun 09, 2022","
","1,071.25","
","1,076.25","
","1,082.00","
","1,044.25","
",-, ,-0.33%,"
"
"
","Jun 08, 2022","
","1,074.75","
","1,073.00","
","1,089.00","
","1,061.75","
",68.01K, ,0.28%,"
"
"
","Jun 07, 2022","
","1,071.75","
","1,093.00","
","1,101.00","
","1,058.50","
",-, ,-1.94%,"
"
"
","Jun 06, 2022","
","1,093.00","
","1,060.00","
","1,108.75","
","1,060.00","
",60.71K, ,5.10%,"
"
"
","Jun 03, 2022","
","1,040.00","
","1,061.50","
","1,069.25","
","1,036.25","
",-, ,-1.72%,"
"
"
","Jun 02, 2022","
","1,058.25","
","1,043.25","
","1,075.00","
","1,037.25","
",-, ,1.63%,"
"
"
","Jun 01, 2022","
","1,041.25","
","1,091.00","
","1,098.00","
","1,027.25","
",-, ,-4.25%,"
"
"
","May 31, 2022","
","1,087.50","
","1,157.00","
","1,157.25","
","1,087.50","
",68.16K, ,-5.88%,"
"
"
","May 30, 2022","
","1,155.38","
","1,157.50","
","1,157.50","
","1,155.38","
",-, ,-0.18%,"
"
"
","May 27, 2022","
","1,157.50","
","1,143.25","
","1,170.25","
","1,133.50","
",25.54K, ,1.25%,"
"
"
","May 26, 2022","
","1,143.25","
","1,133.00","
","1,160.25","
","1,115.00","
",38.51K, ,-0.44%,"
"
"
","May 25, 2022","
","1,148.25","
","1,154.50","
","1,158.50","
","1,114.50","
",-, ,-0.56%,"
"
"
","May 24, 2022","
","1,154.75","
","1,196.00","
","1,208.75","
","1,138.00","
",-, ,-2.96%,"
"
"
","May 23, 2022","
","1,190.00","
","1,181.75","
","1,196.75","
","1,174.75","
",-, ,1.82%,"
"
"
","May 20, 2022","
","1,168.75","
","1,208.00","
","1,208.00","
","1,168.00","
",-, ,-2.64%,"
"
"
","May 19, 2022","
","1,200.50","
","1,222.00","
","1,247.75","
","1,193.50","
",54.78K, ,-2.46%,"
"
"
","May 18, 2022","
","1,230.75","
","1,278.50","
","1,280.00","
","1,211.50","
",-, ,-3.66%,"
"
"
","May 17, 2022","
","1,277.50","
","1,268.00","
","1,284.00","
","1,200.75","
",-, ,2.40%,"
"
"
","May 16, 2022","
","1,247.50","
","1,234.25","
","1,247.50","
","1,222.25","
",-, ,6.88%,"
"
"
","May 13, 2022","
","1,167.25","
","1,172.75","
","1,198.50","
","1,158.50","
",0.00K, ,-0.62%,"
"
"
","May 12, 2022","
","1,174.50","
","1,107.75","
","1,128.75","
","1,103.25","
",0.16K, ,5.93%,"
"
"
","May 11, 2022","
","1,108.75","
","1,109.25","
","1,115.00","
","1,100.00","
",0.05K, ,2.35%,"
"
"
","May 10, 2022","
","1,083.25","
","1,096.75","
","1,098.50","
","1,092.00","
",0.04K, ,-0.87%,"
"
"
","May 09, 2022","
","1,092.75","
","1,120.75","
","1,135.00","
","1,090.00","
",37.35K, ,-1.42%,"
"
"
","May 06, 2022","
","1,108.50","
","1,102.00","
","1,127.50","
","1,087.75","
",39.58K, ,0.18%,"
"
"
","May 05, 2022","
","1,106.50","
","1,079.00","
","1,121.75","
","1,077.25","
",47.81K, ,2.79%,"
"
"
","May 04, 2022","
","1,076.50","
","1,047.00","
","1,089.00","
","1,042.25","
",44.20K, ,2.82%,"
"
"
","May 03, 2022","
","1,047.00","
","1,053.62","
","1,068.80","
","1,044.25","
",-, ,-0.70%,"
"
"
","May 02, 2022","
","1,054.38","
","1,045.25","
","1,071.38","
","1,034.25","
",-, ,-0.13%,"
"
"
","Apr 29, 2022","
","1,055.75","
","1,085.00","
","1,102.50","
","1,054.25","
",-, ,-2.76%,"
"
"
","Apr 28, 2022","
","1,085.75","
","1,088.00","
","1,106.50","
","1,081.00","
",-, ,-0.50%,"
"
